"Accepts_Med","THCIC_ID","Per_MedMed","lon","lat","scaled_ppd","total_pop","weighted_median_income"
TRUE,"975424",0.41019955654102,"-98.5651812057095","29.5996076613024",4.2738,272364,88592.85330023
TRUE,"975425",0.565036580670004,"-106.303681118298","31.7690099310758",11.2351,350866,59955.6750567538
TRUE,"975426",0.414883618068226,"-95.3048060709562","32.28172885",8.8875,120176,70171.2251201281
TRUE,"975427",0.528294186995556,"-106.570863822056","31.8812593313032",4.8261,138057,84556.7515179544
TRUE,"975428",0.450105333185497,"-106.439328276929","31.9267003813581",4.0671,127357,59194.7554819093
TRUE,"975429",0.304514363885089,"-95.7238599892286","29.9819155791574",5.586,187942,127430.172864429
TRUE,"975430",0.29714311792625,"-95.6868829216393","29.9176465",11.0041,395646,99882.1440159792
TRUE,"975431",0.365284760570345,"-95.5757937","29.99368275",5.2928,384454,98330.8400450192
TRUE,"975432",0.162441218564711,"-94.9799692727273","29.7903767272727",11.3169,131664,71148.9267675149
TRUE,"975439",0.38389933576574,"-95.0752140407997","30.341172",5.8893,38028,50729.8846376354
TRUE,"975440",0.182813355227148,"-96.7321146026188","33.2185175223616",3.5818,241649,141678.327616745
TRUE,"975441",0.221548183254344,"-106.2669874929","31.7390480263842",4.7801,353506,63173.3405941377
TRUE,"975442",0.327217229099542,"-106.435525548387","31.8928959032258",4.715,143687,58533.4186467349
TRUE,"975444",0.17925601750547,"-94.8671365654962","32.3738272",21.0829,26896,61120.0152036061
TRUE,"975447",0.209479793637145,"-97.8604863255352","30.5955556491596",12.4976,125804,117748.267240412
TRUE,"975460",0.287932456693678,"-97.3698209328327","32.4978491",9.083,98742,82783.3376518384
TRUE,"975463",0.495025951557093,"-98.5358088591136","29.5590724145403",7.2786,378526,71963.5223448063
TRUE,"975464",0.651196854642871,"-98.6972780956591","29.46477645",14.9758,410684,86363.6763791859
TRUE,"975465",0.511357936223576,"-98.490933737272","29.6163632983969",7.4114,267304,99268.8984151913
TRUE,"975466",0.498683252087186,"-98.0753638853982","29.7233874998598",9.1445,109151,90475.4721308662
TRUE,"975467",0.164196123147092,"-96.2602247515759","30.5571822333685",7.8189,106958,74251.6576389225
TRUE,"975468",0.129312623925975,"-96.61110","33.64167",29.9844,60425,64353.9201147964
