THCIC_ID,Accepts_Med,Per_MedMed,lon,lat,scaled_ppd,total_pop,weighted_median_income
975578,FALSE,0.001129868,-99.75750157,32.402711,23.0576,122481,68627.09063
975480,TRUE,0.435824544,-99.76656181,32.38626858,16.3726,107361,72686.83177
975579,FALSE,0.003751042,-99.75166912,32.39605937,22.4509,120965,69825.09061
975512,TRUE,0.456651467,-98.14305395,26.194484,13.8168,256393,51080.94965
975580,FALSE,0.000407166,-96.70004406,33.11608675,10.8014,393720,129341.4511
975932,TRUE,0.320017828,-95.2458025,29.40087731,6.6017,65911,87055.53634
976330,NA,NA,-101.8492081,35.19423011,NA,NA,NA
976276,NA,NA,-101.8851656,35.22171219,NA,NA,NA
975494,TRUE,0.075243809,-101.866024,35.16936661,55.5742,186457,67511.75373
975581,FALSE,0.000672857,-101.9382148,35.171499,10.7705,137683,75304.77991
976208,TRUE,0.066561014,-101.920054,35.13111233,4.6697,127484,77325.80747
976209,TRUE,0.062125024,-101.8839227,35.19021288,9.2722,186483,67626.24169
975495,TRUE,0.12837029,-101.9418117,35.14751255,37.345,118818,77523.82583
975585,FALSE,0.009065934,-95.4172343,29.1696333,9.8261,39935,81887.38857
975856,TRUE,0.100705944,-96.58202895,33.35049266,24.0847,50662,94368.20377
976262,TRUE,0.23253738,-97.20575182,33.13131135,5.1127,67725,118354.7508
975586,FALSE,0.000146391,-97.13499086,32.6515023,8.4834,367038,85504.9524
975854,FALSE,0,-97.20231175,32.67101353,6.5369,296247,72465.59824
975950,FALSE,0,-97.12829351,32.6910168,5.7662,414351,76139.60612
976121,TRUE,0.169030439,-95.84614094,32.17523063,10.7044,25553,59602.7826
975907,FALSE,0.000147514,-97.83061852,30.16858413,17.2076,286668,98526.9948
975594,FALSE,0,-97.739643,30.331257,14.7244,403559,91611.12189
976095,FALSE,0,-97.7493434,30.397999,6.1063,364015,92173.97841
975964,FALSE,0.000142918,-97.69855068,30.30085775,9.5729,415540,82199.66338
975963,FALSE,0.000183857,-97.72700987,30.241105,14.3718,385352,86117.43365
975962,FALSE,0.00029994,-97.792694,30.2353705,8.8035,403644,95450.09184
975595,TRUE,0.021589529,-97.8680616,30.2000326,11.5196,224286,110871.2028
975596,TRUE,0.029618867,-97.8387156,30.3008125,12.0196,173174,137591.4107
975969,FALSE,0.000147558,NA,NA,9.6576,392631,92065.49641
975597,FALSE,0,-97.5503289,32.90136482,6.9884,62942,91454.59426
975598,FALSE,0.004425224,-97.33825099,30.10745505,27.5963,41252,88583.16246
976372,NA,NA,-97.3449035,30.10845315,NA,NA,NA
975469,TRUE,0.341770264,-97.29207725,30.10328875,5.3498,41337,87705.36053
975475,TRUE,0.196470042,-94.98230463,29.76987101,7.6752,127653,71258.65877
975432,TRUE,0.162441219,-94.97996927,29.79037673,11.3169,131664,71148.92677
975939,FALSE,0.008997773,-94.9780841,29.8043362,15.6917,132690,71882.27126
976232,TRUE,0.081886619,-94.18629035,30.1794692,15.4166,62646,69404.04196
975470,TRUE,0.261996904,NA,NA,3.4772,83565,148701.5
975602,FALSE,0.001533448,-95.47275478,29.70572533,6.1466,641528,86224.54532
975603,FALSE,0,-97.46952639,32.67334739,5.5001,179131,81695.26592
976350,NA,NA,-98.72691182,29.77201135,NA,NA,NA
975521,TRUE,0.295636303,-98.73070227,29.7718009,12.6085,57170,114436.534
976206,FALSE,0.000364631,-97.51137154,25.97955354,11.1551,174751,52435.60289
975522,TRUE,0.407409794,NA,NA,4.1903,185666,47680.92691
975605,FALSE,0.001343484,-96.33230525,30.67256505,29.0632,156395,51713.51034
976316,NA,NA,-97.82352533,30.07896789,NA,NA,NA
975460,TRUE,0.287932457,-97.36982093,32.4978491,9.083,98742,82783.33765
976179,FALSE,0.001043841,-97.34589299,32.51730869,1.7974,119928,86026.60288
975886,TRUE,0.21274512,-95.84736145,32.57510315,41.4085,19354,70691.37067
976146,FALSE,0,-96.88474252,33.02500856,2.2701,328147,101594.7305
976027,FALSE,0,-96.93078432,32.60411132,7.4157,221898,75012.7596
976254,TRUE,0.073975721,-97.808088,30.5241669,6.1513,276544,121140.6427
975509,TRUE,0.337579318,NA,NA,4.6582,13681,53898.19195
975609,TRUE,0.0298889,-98.24233655,29.57477037,11.1872,142236,92685.11374
975439,TRUE,0.383899336,-95.07521404,30.341172,5.8893,38028,50729.88464
975467,TRUE,0.164196123,-96.26022475,30.55718223,7.8189,106958,74251.65764
975610,FALSE,0.007948082,-96.3188451,30.6148817,19.6883,192472,60857.2457
976005,FALSE,0,-97.155701,32.881001,6.6775,334655,112257.5485
975525,TRUE,0.484273089,NA,NA,12.9639,16278,55215.2512
976367,NA,NA,NA,NA,NA,NA,NA
976326,NA,NA,-95.48136503,30.31925735,NA,NA,NA
976302,FALSE,0,-96.99145487,32.98688685,3.8648,283734,105791.1529
975612,FALSE,0.001214513,-96.99354524,32.96265843,10.0393,250429,104254.9551
975615,FALSE,0.004025045,-97.38540983,27.68646918,20.2056,225700,72177.84365
975617,FALSE,0.003765404,-97.33329811,27.69023997,12.659,185120,75878.09166
975616,FALSE,0.002573075,-97.37874067,27.7256906,14.3066,254936,67270.47586
975614,FALSE,0.001660811,-97.58521343,27.84508121,23.436,51338,78222.11144
976231,FALSE,0,-97.41484237,27.70086637,5.2417,241469,68531.30983
975620,FALSE,0.000240848,-97.22189645,27.62035555,6.7679,29175,81363.41097
975621,TRUE,0.034396937,-97.39462939,27.66812828,19.8522,200620,73770.56469
976255,TRUE,0.064991544,-95.07377091,29.93616352,12.9243,56935,99918.91788
975622,FALSE,0.002366064,-95.68143007,29.97504042,10.3876,279520,119815.9632
976230,FALSE,0.000739645,-95.7397322,29.9935692,4.5477,163533,129687.7804
975429,TRUE,0.304514364,-95.72385999,29.98191558,5.586,187942,127430.1729
975430,TRUE,0.297143118,-95.68688292,29.9176465,11.0041,395646,99882.14402
975529,TRUE,0.342919465,NA,NA,11.9749,352413,101603.826
976345,NA,NA,NA,NA,NA,NA,NA
975623,FALSE,0,-96.81857364,32.91742138,6.749,445531,95437.77822
975624,FALSE,0,-96.8224897,32.8515198,10.4314,429728,102785.2564
975927,FALSE,0,-96.83140558,32.9973837,6.9952,443664,96352.20608
976000,FALSE,0,-96.78748053,32.84247735,5.2641,472004,102660.3894
975627,FALSE,0.001459144,NA,NA,4.1529,520599,95123.70006
976342,NA,NA,-96.82033743,32.82477494,NA,NA,NA
976343,NA,NA,-96.761323,32.836626,NA,NA,NA
976344,NA,NA,-96.76903478,32.88050445,NA,NA,NA
976076,FALSE,0,-96.82057723,32.95634855,4.8825,450858,90038.19606
976077,FALSE,0,-96.76932202,32.96372755,5.5044,476048,88931.47542
976327,NA,NA,-96.70020498,32.86408869,NA,NA,NA
975633,FALSE,0,-95.1012625,29.7023897,10.9966,164562,79581.86052
975947,TRUE,0.495187871,-95.12316689,29.67882289,7.2642,216707,76945.25909
975635,FALSE,0,-97.10937669,33.18581685,4.4346,188780,88573.06254
975904,FALSE,0,-97.11589412,33.17581533,7.2869,194245,91667.88387
976030,FALSE,0,-96.874266,32.589703,6.7344,256359,75776.48635
976183,FALSE,0.000173461,-98.05577563,30.19520816,9.4533,54660,137448.6764
975516,TRUE,0.384594696,-98.19073148,26.30568974,4.6436,225734,66110.26357
975477,TRUE,0.318375418,-98.20241883,26.26124006,12.4303,323144,60349.26441
975476,TRUE,0.397219132,NA,NA,21.3142,7553,49222.65338
975427,TRUE,0.528294187,-106.5708638,31.88125933,4.8261,138057,84556.75152
975508,TRUE,0.399737533,-106.2656639,31.76405415,3.3579,308365,65141.88843
975884,TRUE,0.414108829,-106.278818,31.697197,6.5573,258082,61012.48578
975428,TRUE,0.450105333,-106.4393283,31.92670038,4.0671,127357,59194.75548
975639,FALSE,0.001325283,-106.2686745,31.79138648,10.8839,258061,65918.47421
975640,FALSE,0.00058148,-106.5785206,31.8642562,10.0779,135422,85041.38095
975511,TRUE,0.38014259,-106.267066,31.792462,8.5323,257372,66054.88129
975425,TRUE,0.565036581,-106.3036811,31.76900993,11.2351,350866,59955.67506
976069,TRUE,0.151879699,NA,NA,0.7575,354857,58980.20135
975441,TRUE,0.221548183,-106.2669875,31.73904803,4.7801,353506,63173.34059
975442,TRUE,0.327217229,-106.4355255,31.8928959,4.715,143687,58533.41865
976038,TRUE,0.023926319,NA,NA,12.022,15860,71473.58
975537,TRUE,0.312897477,-96.46568908,32.75518778,41.0005,97466,102814.7387
976341,NA,NA,-96.45803826,32.72862741,NA,NA,NA
975642,TRUE,0.040116126,-97.4142434,32.72979805,8.479,317197,72212.37426
976325,NA,NA,-97.28790742,32.91495048,NA,NA,NA
976003,FALSE,0.000275179,-97.2681795,32.87491165,4.9977,372171,97421.4975
975645,FALSE,0.015166059,-97.41189884,32.63055205,6.9724,236055,81272.71119
976083,TRUE,0.283441535,NA,NA,8.3312,40199,80381.71425
975538,TRUE,0.342208342,-97.48544343,32.76147937,7.4333,150273,73878.76099
976075,FALSE,0,-97.40257822,32.66362958,5.1948,318022,77692.1968
975851,FALSE,0,-97.28815623,32.86155965,6.5346,367754,87624.4921
975959,FALSE,0,-97.36142619,32.74800485,5.9158,316602,63275.55525
976193,FALSE,0.002944507,NA,NA,8.9809,293930,58520.91609
976112,TRUE,0.209756098,-95.18764568,29.50983763,4.0715,219299,105866.9077
976059,FALSE,0,-96.7338858,33.12596915,3.6283,408586,128459.4681
975650,FALSE,0.001317909,-96.73458841,33.17445905,10.3734,328622,138181.4813
976054,FALSE,0.000305157,-96.8061237,33.1226475,3.9201,360599,138230.1933
975979,FALSE,0,-96.77004564,33.1380636,2.7188,373179,136710.4695
975648,FALSE,0.015282191,-96.8638644,33.1777083,9.4933,270755,136975.1461
975649,FALSE,0.000514509,-96.84864415,33.15489705,14.4142,297715,136588.0234
975652,FALSE,0.002390392,-94.80803173,29.27722906,27.0642,51222,55243.15793
976202,TRUE,0.325675999,-96.67954491,32.93098972,4.3948,453957,77790.40407
976074,FALSE,0,-96.64167634,32.8611967,5.9519,429750,72416.69257
975654,FALSE,0.001262626,-97.69926655,30.6335435,12.5836,111417,106985.6654
976298,NA,NA,-97.74854345,32.44482631,NA,NA,NA
975855,FALSE,0.000261097,-97.01585771,32.74102075,6.0973,301114,60329.56497
975541,TRUE,0.338417257,-97.0447824,32.64729155,14.0291,339724,84672.07483
976001,FALSE,0.002286648,-96.12617818,33.0898154,19.2994,43844,59618.47883
975542,TRUE,0.529080342,-96.11642849,32.332254,23.449,32988,51926.17199
975655,FALSE,0.000182515,NA,NA,17.0187,136886,63605.58859
976207,FALSE,0.0094451,-97.75911008,26.1877832,8.8465,107945,50584.96267
975543,TRUE,0.444141508,-97.67277655,26.17464906,10.5647,121829,50821.86972
975931,TRUE,0.275115015,-98.67444704,29.55857967,7.6151,328339,90544.80686
975948,FALSE,0,-97.04794027,33.07158696,4.2934,239814,122695.1585
975668,FALSE,0.001685934,-95.1271329,29.6041464,24.3093,257810,85983.96657
975657,FALSE,0.000383289,-95.38506935,29.70577533,4.176,528916,92509.37944
975481,TRUE,0.271233316,-95.42102692,29.70622715,8.5056,584521,94702.07244
975662,TRUE,0.10721333,NA,NA,5.243,376102,70578.94417
976236,TRUE,0.167741935,-95.46766214,29.72278675,4.3386,647917,95303.53529
976240,TRUE,0.141498216,-95.6457431,29.8611442,9.7833,399083,91297.61889
